rep,fold,f1,roc_auc,pr_auc
1,1,0.42857142857142855,0.84375,0.3708333333333333
1,2,0.36363636363636365,0.7935483870967741,0.33749999999999997
1,3,0.2857142857142857,0.838235294117647,0.3333333333333333
1,4,0.5,0.9705882352941176,0.75
1,5,0.4444444444444444,0.9411764705882353,0.6666666666666666
2,1,0.4444444444444444,0.9117647058823529,0.3333333333333333
2,2,0.42857142857142855,0.8125,0.34310776942355886
2,3,0.4,0.9411764705882353,0.6666666666666666
2,4,0.4444444444444444,0.8671875,0.42142857142857143
2,5,0.2857142857142857,0.8282828282828283,0.48333333333333334
3,1,0.0,0.7070707070707072,0.16581196581196583
3,2,0.3333333333333333,0.7373737373737375,0.24206349206349206
3,3,0.4,0.9411764705882353,0.41666666666666663
3,4,0.6153846153846154,0.9765625,0.8541666666666666
3,5,0.46153846153846156,0.8686868686868686,0.31746031746031744
4,1,0.4,1.0,1.0
4,2,0.6666666666666666,0.96875,0.6791666666666667
4,3,0.0,0.7794117647058824,0.17692307692307693
4,4,0.3333333333333333,0.7890625,0.2644230769230769
4,5,0.42857142857142855,0.7890625,0.26726190476190476
5,1,0.5714285714285714,0.9161290322580645,0.5476190476190476
5,2,0.4,0.8359375,0.48942307692307696
5,3,0.3333333333333333,0.823529411764706,0.3269230769230769
5,4,0.18181818181818182,0.7647058823529411,0.5555555555555556
5,5,0.5,0.9117647058823529,0.325
6,1,0.6666666666666666,0.96875,0.875
6,2,0.2,0.7941176470588235,0.18333333333333335
6,3,0.25,0.926470588235294,0.6428571428571428
6,4,0.4,0.7734375,0.35555555555555557
6,5,0.4444444444444444,0.8383838383838385,0.3492063492063492
7,1,0.5454545454545454,0.90625,0.5654761904761905
7,2,0.7272727272727273,1.0,1.0
7,3,0.3333333333333333,0.8383838383838385,0.3492063492063492
7,4,0.0,0.6470588235294117,0.10989010989010989
7,5,0.2222222222222222,0.6911764705882353,0.15263157894736842
8,1,0.4,0.8181818181818181,0.3366013071895425
8,2,0.2,0.9714285714285714,0.5
8,3,0.75,0.9483870967741935,0.8433333333333333
8,4,0.2857142857142857,0.838235294117647,0.3333333333333333
8,5,0.42857142857142855,0.828125,0.4380482456140351
9,1,0.25,0.7941176470588235,0.18333333333333335
9,2,0.46153846153846156,0.9696969696969697,0.8333333333333333
9,3,0.5,0.7870967741935484,0.5454385964912281
9,4,0.2222222222222222,0.8382352941176471,0.2111111111111111
9,5,0.5714285714285714,0.8787878787878788,0.41666666666666663
10,1,0.42857142857142855,0.875,0.4063852813852814
10,2,0.5,0.8235294117647058,0.5714285714285714
10,3,0.5454545454545454,0.898989898989899,0.4027777777777778
10,4,0.36363636363636365,0.8125,0.47435897435897434
10,5,0.2222222222222222,0.7205882352941176,0.14583333333333331
